                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.65275,                0.42202,                0.84591,                0.99327,                      1,                0.99479,                  0.764,                0.87461,                0.35811,                0.93903,             0.00019805,             0.00019805,             0.00019805
                     63,                0.64682,                0.41079,                0.83984,                0.99315,                      1,                0.99474,                0.77001,                0.87829,                0.34553,                0.94544,              0.0001931,              0.0001931,              0.0001931
                     64,                0.66027,                0.41021,                0.85906,                0.99481,                0.99858,                0.99417,                0.78424,                0.88096,                0.35725,                0.94051,             0.00018815,             0.00018815,             0.00018815
                     65,                0.62893,                0.40129,                0.84263,                0.99382,                      1,                0.99427,                0.78036,                0.88037,                0.35411,                0.94356,              0.0001832,              0.0001832,              0.0001832
                     66,                0.63789,                 0.4006,                0.85072,                0.99388,                      1,                0.99417,                0.77645,                0.87721,                0.35564,                 0.9439,             0.00017825,             0.00017825,             0.00017825
                     67,                 0.6413,                0.40692,                 0.8432,                0.99385,                      1,                0.99433,                0.78026,                0.87604,                 0.3573,                0.94463,              0.0001733,              0.0001733,              0.0001733
                     68,                0.63214,                0.39934,                0.83875,                 0.9936,                      1,                0.99453,                0.77905,                0.88459,                0.35256,                0.94198,             0.00016835,             0.00016835,             0.00016835
                     69,                0.63909,                0.41649,                0.84306,                 0.9931,                      1,                0.99417,                0.78151,                0.86435,                0.34645,                 0.9394,              0.0001634,              0.0001634,              0.0001634
                     70,                 0.6076,                0.47264,                0.82138,                0.98958,                      1,                0.99355,                0.78244,                0.87623,                  0.347,                0.94076,             0.00015845,             0.00015845,             0.00015845
                     71,                0.63494,                0.40255,                 0.8539,                0.99142,                      1,                0.99386,                0.77498,                0.88981,                0.34761,                0.94543,              0.0001535,              0.0001535,              0.0001535
                     72,                0.63889,                0.39459,                0.84527,                0.99322,                      1,                0.99422,                0.78439,                0.86168,                0.33962,                0.93858,             0.00014855,             0.00014855,             0.00014855
                     73,                0.62057,                0.38078,                0.84378,                0.99381,                      1,                0.99422,                0.78212,                 0.8845,                0.34399,                 0.9458,              0.0001436,              0.0001436,              0.0001436
                     74,                0.60711,                0.39221,                0.84935,                0.99409,                      1,                0.99422,                0.78221,                0.87127,                0.34066,                0.94403,             0.00013865,             0.00013865,             0.00013865
                     75,                0.60994,                0.39007,                0.83373,                0.99406,                      1,                0.99417,                0.78182,                0.88429,                0.34186,                0.94803,              0.0001337,              0.0001337,              0.0001337
                     76,                0.61357,                0.41492,                0.84824,                0.99351,                      1,                0.99417,                0.78486,                0.86986,                0.33586,                0.94254,             0.00012875,             0.00012875,             0.00012875
                     77,                0.59699,                 0.3755,                0.83869,                0.99375,                      1,                0.99402,                0.77619,                0.88562,                0.33951,                0.94837,              0.0001238,              0.0001238,              0.0001238
                     78,                 0.6108,                0.37493,                0.83763,                0.99336,                      1,                0.99391,                0.78317,                0.87336,                0.33848,                0.94191,             0.00011885,             0.00011885,             0.00011885
                     79,                0.61774,                0.38831,                 0.8348,                0.99305,                      1,                0.99324,                0.77386,                0.88491,                0.33895,                0.94733,              0.0001139,              0.0001139,              0.0001139
                     80,                0.59904,                0.37855,                0.84269,                0.98925,                      1,                0.99328,                0.78174,                 0.8671,                 0.3351,                0.94267,             0.00010895,             0.00010895,             0.00010895
                     81,                 0.5995,                 0.3724,                0.84263,                 0.9893,                      1,                 0.9939,                0.77847,                0.88573,                0.34106,                0.94842,               0.000104,               0.000104,               0.000104
