                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.64992,                0.19805,                0.07993,                0.44699,                0.84434,                0.98101,                0.98641,                0.99412,                0.87043,                0.98269,                0.98216,                0.98992,                0.98807,                0.55677,                0.11929,                0.01156,                0.35857,                0.82245,              0.0099386,              0.0099386,              0.0099386
                     34,                0.65038,                 0.1865,                0.07492,                0.44693,                0.83875,                0.99505,                0.98191,                0.99446,                0.88667,                0.99038,                0.97769,                0.99024,                0.98812,                0.49514,                0.13516,                0.00922,                0.35406,                0.81604,              0.0099366,              0.0099366,              0.0099366
                     35,                0.60239,                0.19575,                0.08001,                0.43845,                0.83913,                0.98601,                0.97711,                0.99415,                0.89506,                0.98368,                0.96727,                0.98939,                0.98458,                0.48281,                0.15568,                0.01622,                0.35417,                0.81385,              0.0099347,              0.0099347,              0.0099347
                     36,                0.63075,                0.19411,                 0.0746,                0.44414,                0.84675,                0.98826,                0.98701,                 0.9945,                0.89505,                0.98342,                 0.9818,                0.99094,                0.98721,                0.48735,                0.12774,                0.00983,                0.35021,                0.81436,              0.0099327,              0.0099327,              0.0099327
                     37,                0.62694,                0.16952,                0.06629,                0.42961,                0.84146,                0.98701,                0.98785,                0.99451,                0.89022,                0.98356,                0.98439,                0.99157,                0.98965,                0.50065,                0.12046,                 0.0096,                0.34272,                0.81892,              0.0099307,              0.0099307,              0.0099307
                     38,                0.61153,                0.18692,                0.06704,                 0.4589,                0.83859,                0.99071,                0.98418,                0.99461,                0.88334,                0.98821,                0.98172,                0.99152,                0.99019,                0.50567,                0.10778,                 0.0084,                0.37171,                0.81722,              0.0099287,              0.0099287,              0.0099287
                     39,                0.61678,                0.18858,                0.06719,                0.43207,                0.84367,                0.98958,                 0.9818,                0.99426,                0.88559,                0.98833,                0.98198,                0.99183,                0.98963,                0.50375,                0.12049,                0.01191,                0.36209,                 0.8188,              0.0099267,              0.0099267,              0.0099267
                     40,                 0.6135,                0.18766,                0.07031,                0.43232,                0.83811,                0.98615,                0.98639,                0.99409,                0.88342,                0.98356,                0.98337,                0.99149,                0.99003,                0.52301,                0.10803,                0.01404,                0.34997,                 0.8178,              0.0099248,              0.0099248,              0.0099248
                     41,                0.58991,                0.17966,                0.06085,                0.43095,                0.83833,                0.94052,                0.95062,                0.97454,                0.87154,                0.84713,                0.85959,                0.82879,                0.78694,                0.51118,                0.78584,                0.01202,                0.41641,                0.82997,              0.0099228,              0.0099228,              0.0099228
                     42,                0.61918,                0.16748,                0.06174,                0.42491,                0.83691,                0.98215,                0.98155,                0.99432,                0.86893,                0.98714,                0.97369,                0.99374,                  0.992,                0.55594,                 0.0932,                0.00892,                0.35007,                0.82148,              0.0099208,              0.0099208,              0.0099208
