                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.65534,                0.40762,                0.87958,                0.99826,                      1,                  0.995,                0.80111,                0.88441,                0.35662,                0.95133,              0.0001535,              0.0001535,              0.0001535
                     72,                0.69065,                0.41694,                0.87642,                0.99678,                      1,                  0.995,                0.79594,                 0.8571,                0.35891,                0.94396,             0.00014855,             0.00014855,             0.00014855
                     73,                0.62763,                0.40632,                0.86211,                0.99709,                      1,                  0.995,                0.79448,                0.86948,                 0.3529,                0.94764,              0.0001436,              0.0001436,              0.0001436
                     74,                 0.6238,                0.39095,                0.85953,                  0.997,                      1,                  0.995,                0.79514,                0.87245,                0.34863,                0.95363,             0.00013865,             0.00013865,             0.00013865
                     75,                0.62949,                0.39393,                0.86961,                0.99789,                      1,                  0.995,                0.79243,                0.88154,                0.35105,                0.95522,              0.0001337,              0.0001337,              0.0001337
                     76,                 0.6731,                 0.4122,                0.88628,                0.99841,                      1,                  0.995,                0.79523,                 0.8734,                0.34801,                 0.9463,             0.00012875,             0.00012875,             0.00012875
                     77,                0.61264,                0.38975,                0.85802,                0.99744,                      1,                  0.995,                0.79864,                0.85786,                  0.345,                0.94188,              0.0001238,              0.0001238,              0.0001238
                     78,                0.60918,                0.39342,                 0.8503,                 0.9981,                      1,                  0.995,                0.78144,                0.89123,                0.34868,                0.95321,             0.00011885,             0.00011885,             0.00011885
                     79,                0.61542,                0.39119,                0.86509,                0.99781,                      1,                  0.995,                0.79618,                0.87457,                0.34392,                0.94538,              0.0001139,              0.0001139,              0.0001139
                     80,                 0.6157,                0.39335,                0.86253,                0.99673,                      1,                  0.995,                0.80045,                0.87066,                0.34733,                0.95797,             0.00010895,             0.00010895,             0.00010895
                     81,                0.60604,                0.38335,                0.85931,                0.99715,                      1,                  0.995,                0.80259,                0.85823,                0.34453,                0.94766,               0.000104,               0.000104,               0.000104
                     82,                 0.6392,                0.38362,                0.87202,                0.99786,                      1,                  0.995,                0.80354,                0.87045,                 0.3434,                0.95172,              9.905e-05,              9.905e-05,              9.905e-05
                     83,                0.59371,                0.38135,                0.84924,                0.98986,                      1,                  0.995,                    0.8,                0.86353,                0.34521,                0.94964,               9.41e-05,               9.41e-05,               9.41e-05
                     84,                0.62833,                0.39197,                0.85621,                0.98989,                      1,                  0.995,                0.80078,                0.85798,                0.34296,                 0.9449,              8.915e-05,              8.915e-05,              8.915e-05
                     85,                0.60404,                0.37134,                0.87077,                0.98989,                      1,                  0.995,                 0.7981,                0.85941,                0.34222,                0.94388,               8.42e-05,               8.42e-05,               8.42e-05
                     86,                0.60878,                0.38611,                 0.8369,                 0.9976,                      1,                  0.995,                  0.797,                0.88081,                0.34101,                0.95761,              7.925e-05,              7.925e-05,              7.925e-05
                     87,                0.62055,                0.38614,                0.86012,                0.99934,                      1,                  0.995,                0.79523,                 0.8535,                0.33766,                0.94725,               7.43e-05,               7.43e-05,               7.43e-05
                     88,                0.60691,                0.38684,                0.83226,                0.99742,                      1,                  0.995,                0.78452,                0.87843,                0.34117,                0.95899,              6.935e-05,              6.935e-05,              6.935e-05
                     89,                0.62212,                0.38021,                0.86697,                0.99944,                      1,                  0.995,                0.79282,                0.88551,                0.34484,                0.95923,               6.44e-05,               6.44e-05,               6.44e-05
                     90,                0.63278,                0.38202,                0.85923,                 0.9991,                      1,                  0.995,                 0.7959,                0.87477,                 0.3449,                0.95776,              5.945e-05,              5.945e-05,              5.945e-05
                     91,                0.61626,                 0.4149,                 0.8809,                0.99822,                      1,                  0.995,                0.78169,                0.88782,                0.35596,                0.95994,               5.45e-05,               5.45e-05,               5.45e-05
                     92,                0.60626,                0.40215,                0.86464,                0.99821,                      1,                  0.995,                0.78532,                0.89109,                0.35702,                0.95797,              4.955e-05,              4.955e-05,              4.955e-05
                     93,                0.58928,                0.40382,                0.84846,                0.99839,                      1,                  0.995,                0.77697,                0.88907,                0.35217,                0.95907,               4.46e-05,               4.46e-05,               4.46e-05
                     94,                0.59317,                0.40159,                0.85071,                0.99863,                      1,                  0.995,                0.79116,                0.87542,                0.34725,                0.95065,              3.965e-05,              3.965e-05,              3.965e-05
                     95,                0.56814,                0.38161,                0.85884,                0.99868,                      1,                  0.995,                0.79724,                0.86991,                0.34752,                0.95072,               3.47e-05,               3.47e-05,               3.47e-05
                     96,                0.57521,                0.39133,                0.84992,                0.99856,                      1,                  0.995,                0.79101,                0.87733,                0.35054,                0.95817,              2.975e-05,              2.975e-05,              2.975e-05
                     97,                0.57192,                0.38894,                0.86022,                0.99858,                      1,                  0.995,                0.78883,                0.87963,                0.34906,                0.96092,               2.48e-05,               2.48e-05,               2.48e-05
                     98,                 0.5808,                0.38604,                0.85571,                0.99863,                      1,                  0.995,                0.79172,                0.88402,                0.34813,                0.95748,              1.985e-05,              1.985e-05,              1.985e-05
                     99,                0.56601,                0.37848,                0.85144,                0.99864,                      1,                  0.995,                0.78903,                0.88758,                0.35296,                0.95852,               1.49e-05,               1.49e-05,               1.49e-05
                    100,                0.54498,                 0.4413,                0.83428,                0.99872,                      1,                  0.995,                0.78651,                0.88905,                0.34846,                0.95924,               9.95e-06,               9.95e-06,               9.95e-06
